instrument_token,tradingsymbol,name,exchange,instrument_type
256265,NIFTY 50,"""NIFTY 50""",NSE,EQ
256777,NIFTY MIDCAP 100,"""NIFTY MIDCAP 100""",NSE,EQ
260105,NIFTY BANK,"""NIFTY BANK""",NSE,EQ
260617,NIFTY 100,"""NIFTY 100""",NSE,EQ
257033,NIFTY DIV OPPS 50,"""NIFTY DIV OPPS 50""",NSE,EQ
257289,NIFTY COMMODITIES,"""NIFTY COMMODITIES""",NSE,EQ
257545,NIFTY CONSUMPTION,"""NIFTY CONSUMPTION""",NSE,EQ
257801,NIFTY FIN SERVICE,"""NIFTY FIN SERVICE""",NSE,EQ
258825,NIFTY50 PR 2X LEV,"""NIFTY50 PR 2X LEV""",NSE,EQ
259081,NIFTY50 PR 1X INV,"""NIFTY50 PR 1X INV""",NSE,EQ
259337,NIFTY50 TR 2X LEV,"""NIFTY50 TR 2X LEV""",NSE,EQ
259593,NIFTY50 TR 1X INV,"""NIFTY50 TR 1X INV""",NSE,EQ
259849,NIFTY IT,"""NIFTY IT""",NSE,EQ
260873,NIFTY MIDCAP 50,"""NIFTY MIDCAP 50""",NSE,EQ
261129,NIFTY REALTY,"""NIFTY REALTY""",NSE,EQ
261385,NIFTY INFRA,"""NIFTY INFRA""",NSE,EQ
261641,NIFTY ENERGY,"""NIFTY ENERGY""",NSE,EQ
261897,NIFTY FMCG,"""NIFTY FMCG""",NSE,EQ
262153,NIFTY MNC,"""NIFTY MNC""",NSE,EQ
262409,NIFTY PHARMA,"""NIFTY PHARMA""",NSE,EQ
262665,NIFTY PSE,"""NIFTY PSE""",NSE,EQ
262921,NIFTY PSU BANK,"""NIFTY PSU BANK""",NSE,EQ
263177,NIFTY SERV SECTOR,"""NIFTY SERV SECTOR""",NSE,EQ
263433,NIFTY AUTO,"""NIFTY AUTO""",NSE,EQ
263689,NIFTY METAL,"""NIFTY METAL""",NSE,EQ
263945,NIFTY MEDIA,"""NIFTY MEDIA""",NSE,EQ
264457,NIFTY 200,"""NIFTY 200""",NSE,EQ
264713,HANGSENG BEES-NAV,"""HANGSENG BEES-NAV""",NSE,EQ
264969,INDIA VIX,"""INDIA VIX""",NSE,EQ
