Symbol,Sector
360ONE,Financial Services
3MINDIA,Capital Goods
AARTI,Chemicals
AARTIDRUGS,Pharma
AARTIIND,Chemicals
ABB,Capital Goods
ABCAPITAL,Financial Services
ABFRL,FMCG
ACC,Cement
ADANIENSOL,Power & Utilities
ADANIENT,Infrastructure
ADANIGREEN,Power & Utilities
ADANIPORTS,Infrastructure
AEGISLOG,Infrastructure
AJANTPHARM,Pharma
ALEMBICLTD,Pharma
ALKEM,Pharma
ALKYLAMINE,Chemicals
ALLCARGO,Infrastructure
AMBER,Consumer Durables
AMBUJACEM,Cement
ANGELONE,Financial Services
APLAPOLLO,Metals & Mining
APOLLOHOSP,Pharma
APOLLOTYRE,Auto
ASHOKLEY,Auto
ASIANPAINT,Chemicals
ASTERDM,Pharma
ASTRAL,Capital Goods
ATUL,Chemicals
AUBANK,Banking
AUROPHARMA,Pharma
AVANTIFEED,FMCG
AXISBANK,Banking
BAJAJ-AUTO,Auto
BAJAJCON,Consumer Durables
BAJAJFINSV,Financial Services
BAJAJHLDNG,Financial Services
BAJFINANCE,Financial Services
BALKRISIND,Auto
BALRAMCHIN,FMCG
BANDHANBNK,Banking
BANKBARODA,Banking
BANKINDIA,Banking
BASF,Chemicals
BATAINDIA,Consumer Durables
BDL,Capital Goods
BEL,Capital Goods
BERGEPAINT,Chemicals
BHARATFORG,Auto
BHARTIARTL,Telecom
BHEL,Capital Goods
BIOCON,Pharma
BLUESTARCO,Consumer Durables
BOSCHLTD,Auto
BPCL,Oil & Gas
BRIGADE,Real Estate
BRITANNIA,FMCG
BSE,Financial Services
BSOFT,IT
CAMS,Financial Services
CANBK,Banking
CANFINHOME,Financial Services
CARBORUNIV,Capital Goods
CASTROLIND,Oil & Gas
CDSL,Financial Services
CEATLTD,Auto
CENTRALBK,Banking
CENTURYTEX,Cement
CESC,Power & Utilities
CGPOWER,Capital Goods
CHAMBLFERT,Chemicals
CHOLAFIN,Financial Services
CIPLA,Pharma
CLEAN,Chemicals
COALINDIA,Metals & Mining
COCHINSHIP,Capital Goods
COFORGE,IT
COLPAL,FMCG
CONCOR,Infrastructure
COROMANDEL,Chemicals
CREDITACC,Financial Services
CRISIL,Financial Services
CROMPTON,Consumer Durables
CUB,Banking
CUMMINSIND,Capital Goods
CYIENT,IT
DABUR,FMCG
DALBHARAT,Cement
DCMSHRIRAM,Chemicals
DEEPAKFERT,Chemicals
DEEPAKNTR,Chemicals
DELHIVERY,Infrastructure
DELTACORP,Media & Entertainment
DEVYANI,FMCG
DIVISLAB,Pharma
DIXON,Consumer Durables
DLF,Real Estate
DMART,FMCG
DRREDDY,Pharma
ECLERX,IT
EICHERMOT,Auto
ELGIEQUIP,Capital Goods
EMAMILTD,FMCG
ENGINERSIN,Capital Goods
EPL,Capital Goods
EQUITASBNK,Banking
ESCORTS,Auto
ETERNAL,FMCG
EXIDEIND,Auto
FEDERALBNK,Banking
FINCABLES,Capital Goods
FINEORG,Chemicals
FLUOROCHEM,Chemicals
FORTIS,Pharma
GAIL,Oil & Gas
GALAXYSURF,Chemicals
GICRE,Insurance
GLAND,Pharma
GLAXO,Pharma
GLENMARK,Pharma
GMRAIRPORT,Infrastructure
GNFC,Chemicals
GODREJCP,FMCG
GODREJIND,Chemicals
GODREJPROP,Real Estate
GRANULES,Pharma
GRASIM,Cement
GRINDWELL,Capital Goods
GSPL,Oil & Gas
GUJGASLTD,Oil & Gas
HAL,Capital Goods
HAPPSTMNDS,IT
HATSUN,FMCG
HAVELLS,Consumer Durables
HCLTECH,IT
HDFCAMC,Financial Services
HDFCBANK,Banking
HDFCLIFE,Insurance
HEROMOTOCO,Auto
HINDALCO,Metals & Mining
HINDCOPPER,Metals & Mining
HINDPETRO,Oil & Gas
HINDUNILVR,FMCG
HINDZINC,Metals & Mining
HONAUT,FMCG
HUDCO,Financial Services
IBREALEST,Real Estate
ICICIBANK,Banking
ICICIGI,Insurance
ICICIPRULI,Insurance
IDEA,Telecom
IDFCFIRSTB,Banking
IEX,Power & Utilities
IGL,Oil & Gas
IIFL,Financial Services
INDHOTEL,FMCG
INDIACEM,Cement
INDIANB,Banking
INDIGO,Infrastructure
INDUSINDBK,Banking
INDUSTOWER,Telecom
INFY,IT
INOXWIND,Power & Utilities
IOC,Oil & Gas
IPCALAB,Pharma
IRCTC,Infrastructure
IREDA,Financial Services
IRFC,Financial Services
ITC,FMCG
JBCHEPHARM,Pharma
JINDALSTEL,Metals & Mining
JIOFIN,Financial Services
JKCEMENT,Cement
JKLAKSHMI,Cement
JMFINANCIL,Financial Services
JSL,Metals & Mining
JSWENERGY,Power & Utilities
JSWSTEEL,Metals & Mining
JUBLFOOD,FMCG
JUSTDIAL,IT
KAJARIACER,Consumer Durables
KALYANKJIL,Consumer Durables
KANSAINER,Chemicals
KAYNES,Capital Goods
KEC,Capital Goods
KEI,Capital Goods
KFINTECH,Financial Services
KNRCON,Infrastructure
KOTAKBANK,Banking
KPITTECH,IT
KPRMILL,FMCG
KSB,Capital Goods
LALPATHLAB,Pharma
LATENTVIEW,IT
LAURUSLABS,Pharma
LICHSGFIN,Financial Services
LICI,Insurance
LINDEINDIA,Chemicals
LLOYDSME,Metals & Mining
LODHA,Real Estate
LT,Capital Goods
LTF,Financial Services
LTIM,IT
LTTS,IT
LUPIN,Pharma
M&M,Auto
M&MFIN,Financial Services
MAHLIFE,Real Estate
MANAPPURAM,Financial Services
MANKIND,Pharma
MAPMYINDIA,IT
MARICO,FMCG
MARUTI,Auto
MASTEK,IT
MAXHEALTH,Pharma
MAZDOCK,Capital Goods
MCX,Financial Services
METROPOLIS,Pharma
MFSL,Financial Services
MGL,Oil & Gas
MINDTREE,IT
MOTHERSON,Auto
MOTILALOFS,Financial Services
MPHASIS,IT
MRF,Auto
MSUMI,Auto
MUTHOOTFIN,Financial Services
NATCOPHARM,Pharma
NATIONALUM,Metals & Mining
NAUKRI,IT
NAVINFLUOR,Chemicals
NBCC,Infrastructure
NESTLEIND,FMCG
NETWORK18,Media & Entertainment
NHPC,Power & Utilities
NLCINDIA,Power & Utilities
NMDC,Metals & Mining
NTPC,Power & Utilities
NUVAMA,Financial Services
NYKAA,FMCG
OBEROIRLTY,Real Estate
OFSS,IT
OIL,Oil & Gas
OLECTRA,Auto
ONGC,Oil & Gas
ORIENTELEC,Consumer Durables
PAGEIND,FMCG
PATANJALI,FMCG
PAYTM,Financial Services
PERSISTENT,IT
PETRONET,Oil & Gas
PFC,Financial Services
PGEL,Power & Utilities
PHOENIXLTD,Real Estate
PIDILITIND,Chemicals
PIIND,Chemicals
PNB,Banking
PNBHOUSING,Financial Services
POLICYBZR,Insurance
POLYCAB,Capital Goods
POLYMED,Pharma
POWERGRID,Power & Utilities
POWERINDIA,Capital Goods
PPLPHARMA,Pharma
PREMIERENE,Power & Utilities
PRESTIGE,Real Estate
PRINCEPIPE,Capital Goods
PRISMJOYCE,FMCG
PTC,Power & Utilities
PVRINOX,Media & Entertainment
RADICO,FMCG
RAIN,Chemicals
RAJESHEXPO,FMCG
RALLIS,Chemicals
RAMCOCEM,Cement
RBLBANK,Banking
RECLTD,Financial Services
REDINGTON,IT
RELAXO,Consumer Durables
RELIANCE,Oil & Gas
ROUTE,IT
RVNL,Infrastructure
SAFARI,Consumer Durables
SAIL,Metals & Mining
SAMMAANCAP,Financial Services
SAPPHIRE,Consumer Durables
SBICARD,Financial Services
SBILIFE,Insurance
SBIN,Banking
SCHNEIDER,Capital Goods
SHREECEM,Cement
SHRIRAMFIN,Financial Services
SIEMENS,Capital Goods
SJVN,Power & Utilities
SOBHA,Real Estate
SOLARA,Pharma
SOLARINDS,Capital Goods
SONACOMS,Auto
SONATSOFTW,IT
SRF,Chemicals
STAR,Media & Entertainment
STARHEALTH,Insurance
SUMICHEM,Chemicals
SUNPHARMA,Pharma
SUNTV,Media & Entertainment
SUPREMEIND,Chemicals
SUVENPHAR,Pharma
SUZLON,Power & Utilities
SWIGGY,IT
SYNGENE,Pharma
TANLA,IT
TATACHEM,Chemicals
TATACOMM,Telecom
TATACONSUM,FMCG
TATAELXSI,IT
TATAMOTORS,Auto
TATAPOWER,Power & Utilities
TATASTEEL,Metals & Mining
TATATECH,IT
TCS,IT
TECHM,IT
THERMAX,Capital Goods
TIINDIA,Capital Goods
TIMKEN,Capital Goods
TITAN,Consumer Durables
TMPV,Auto
TORNTPHARM,Pharma
TORNTPOWER,Power & Utilities
TRENT,FMCG
TRIDENT,FMCG
TRIVENI,Capital Goods
TVSMOTOR,Auto
UBL,FMCG
ULTRACEMCO,Cement
UNIONBANK,Banking
UNITDSPR,FMCG
UNOMINDA,Auto
UPL,Chemicals
VBL,FMCG
VEDL,Metals & Mining
VGUARD,Consumer Durables
VINATIORGA,Chemicals
VOLTAS,Consumer Durables
VSTIND,FMCG
