trade_id,date,direction,signal_bar_time,signal_bar_number,entry_time,entry_bar_number,exit_time,exit_bar_number,entry_price,exit_price,stop_loss,target,exit_reason,pnl_points,pnl_amount,bars_held,lots,signal_bar_range,signal_bar_body_ratio,signal_bar_close_position
1,2023-01-17,LONG,09:30,4,09:45,7,10:05,11,17980.5,18011.9,17944.5,18012.9,TARGET,31.4,2275.0,4,1,33.4,0.8129,0.9057
2,2023-01-18,LONG,09:35,5,09:45,7,09:50,8,18082.45,18105.45,18055.85,18106.45,TARGET,23.0,1645.0,1,1,21.6,1.0,1.0
3,2023-01-18,LONG,09:55,9,10:05,11,11:15,25,18118.35,18141.35,18092.95,18142.35,TARGET,23.0,1645.0,14,1,20.4,0.6078,0.8995
4,2023-01-19,SHORT,10:00,10,10:10,12,10:30,16,18068.2,18104.0,18103.0,18039.4,STOP_LOSS,-35.8,-2765.0,4,1,29.8,0.8322,0.0671
5,2023-01-20,LONG,10:05,11,10:15,13,10:40,18,18114.85,18137.85,18091.85,18138.85,TARGET,23.0,1645.0,5,1,18.0,0.925,0.9861
6,2023-01-25,SHORT,09:50,8,10:00,10,10:05,11,17998.45,17975.35,18028.55,17974.35,TARGET,23.1,1652.5,1,1,25.1,0.7869,0.0279
7,2023-02-06,SHORT,09:25,3,09:35,5,09:40,6,17746.5,17780.75,17782.5,17714.55,FT_FAILURE,-34.25,-2648.75,1,1,32.95,0.9363,0.0637
8,2023-02-06,SHORT,10:15,13,10:25,15,10:30,16,17747.6,17722.75,17779.45,17721.75,TARGET,24.85,1783.75,1,1,26.85,0.8473,0.0279
9,2023-02-07,SHORT,09:40,6,09:50,8,10:00,10,17743.15,17769.7,17768.7,17719.15,STOP_LOSS,-26.55,-2071.25,2,1,20.55,0.5864,0.1995
10,2023-02-07,LONG,10:20,14,10:30,16,10:40,18,17760.65,17783.65,17735.55,17784.65,TARGET,23.0,1645.0,2,1,20.1,0.7711,0.8358
