date,open,high,low,close,volume
2025-12-15 09:15:00,870.0,870.0,716.05,745.55,26430
2025-12-15 10:15:00,745.55,764.85,710.0,736.85,58170
2025-12-15 11:15:00,736.85,850.0,727.2,839.25,69780
2025-12-15 12:15:00,839.25,859.0,812.75,859.0,14940
2025-12-15 13:15:00,859.0,860.0,806.9,820.05,23820
2025-12-15 14:15:00,820.05,845.0,818.0,830.0,13680
2025-12-15 15:15:00,824.3,850.0,816.4,842.0,12750
2025-12-16 09:15:00,800.05,803.95,673.45,694.7,44640
2025-12-16 10:15:00,694.7,714.0,682.5,691.45,21930
2025-12-16 11:15:00,691.45,699.6,654.5,680.0,26610
2025-12-16 12:15:00,680.0,697.0,668.05,669.15,7890
2025-12-16 13:15:00,669.15,708.0,665.0,671.9,24150
2025-12-16 14:15:00,671.9,684.65,657.45,664.0,31980
2025-12-16 15:15:00,664.0,666.15,625.25,625.85,16020
2025-12-17 09:15:00,653.0,676.3,581.4,601.05,40740
2025-12-17 10:15:00,601.05,617.2,575.0,616.55,27990
2025-12-17 11:15:00,616.55,629.2,583.05,586.55,20310
2025-12-17 12:15:00,586.55,597.4,555.15,564.45,14310
2025-12-17 13:15:00,564.45,587.0,551.45,572.0,12720
2025-12-17 14:15:00,572.0,593.6,568.6,582.0,22260
2025-12-17 15:15:00,582.0,600.0,572.7,599.0,11670
2025-12-18 09:15:00,645.9,645.9,505.6,588.1,39210
2025-12-18 10:15:00,588.1,650.0,585.0,614.85,47100
2025-12-18 11:15:00,614.85,642.9,600.05,642.9,43470
2025-12-18 12:15:00,642.9,664.7,625.15,634.55,80850
2025-12-18 13:15:00,634.55,634.55,570.0,576.45,69120
2025-12-18 14:15:00,576.45,587.55,546.1,565.2,58050
2025-12-18 15:15:00,565.2,569.0,559.0,563.6,10680
2025-12-19 09:15:00,624.95,638.35,577.0,591.2,47040
2025-12-19 10:15:00,591.2,629.0,581.0,597.8,68490
2025-12-19 11:15:00,598.7,599.45,550.0,584.75,32040
2025-12-19 12:15:00,584.75,593.25,560.0,566.0,21090
2025-12-19 13:15:00,566.0,612.2,565.8,594.9,24000
2025-12-19 14:15:00,594.9,612.55,578.0,588.85,67590
2025-12-19 15:15:00,588.85,595.0,580.05,591.25,28500
2025-12-22 09:15:00,620.0,683.0,604.5,660.5,240630
2025-12-22 10:15:00,660.5,665.0,637.35,642.0,29730
2025-12-22 11:15:00,642.0,656.95,633.15,645.0,33510
2025-12-22 12:15:00,645.0,654.0,625.5,642.0,17460
2025-12-22 13:15:00,642.0,654.1,635.15,646.05,10920
2025-12-22 14:15:00,646.05,659.0,639.1,651.45,47700
2025-12-22 15:15:00,651.45,653.0,644.8,652.45,18120
2025-12-23 09:15:00,655.05,677.75,617.0,660.2,55140
2025-12-23 10:15:00,660.2,662.25,628.5,645.15,20040
2025-12-23 11:15:00,645.15,649.9,612.5,640.2,43620
2025-12-23 12:15:00,640.2,648.05,626.0,642.0,39390
2025-12-23 13:15:00,642.0,651.1,633.5,649.0,52620
2025-12-23 14:15:00,649.0,656.8,630.0,640.6,75780
2025-12-23 15:15:00,640.6,641.8,629.3,632.0,20850
2025-12-24 09:15:00,645.0,702.0,600.0,677.1,121020
2025-12-24 10:15:00,677.1,690.35,654.35,665.0,47940
2025-12-24 11:15:00,665.0,670.0,636.0,641.15,37140
2025-12-24 12:15:00,641.15,646.6,578.0,585.4,44280
2025-12-24 13:15:00,585.15,585.15,552.5,562.3,77760
2025-12-24 14:15:00,562.3,581.95,551.5,559.95,50670
2025-12-24 15:15:00,560.0,560.9,530.75,533.0,24000
2025-12-26 09:15:00,533.0,544.65,484.7,500.35,205410
2025-12-26 10:15:00,500.35,512.7,480.05,485.3,124890
2025-12-26 11:15:00,485.3,485.3,450.0,468.95,108960
2025-12-26 12:15:00,468.9,471.85,445.3,459.25,90630
2025-12-26 13:15:00,460.0,470.0,451.35,456.05,128610
2025-12-26 14:15:00,456.05,462.2,436.15,452.75,99930
2025-12-26 15:15:00,452.75,455.75,445.05,448.25,44520
2025-12-29 09:15:00,448.25,459.0,401.25,407.7,183930
2025-12-29 10:15:00,407.7,407.7,373.65,382.05,124200
2025-12-29 11:15:00,382.05,383.1,364.25,376.9,57240
2025-12-29 12:15:00,376.9,382.9,363.0,375.0,36330
2025-12-29 13:15:00,375.0,405.25,364.7,389.9,50790
2025-12-29 14:15:00,389.9,413.7,373.8,395.9,81810
2025-12-29 15:15:00,395.9,397.95,388.8,389.6,31260
2025-12-30 09:15:00,379.95,384.9,342.0,381.25,249210
2025-12-30 10:15:00,381.25,431.45,368.95,387.85,150600
