index_name,tradingsymbol,option_type,strike,expiry,instrument_token,lot_size,tick_size,segment,exchange,dte
NIFTY,NIFTY2610624000CE,CE,24000,2026-01-06,10323714,65,0.05,NFO-OPT,NFO,0
NIFTY,NIFTY2610624000PE,PE,24000,2026-01-06,10323970,65,0.05,NFO-OPT,NFO,0
NIFTY,NIFTY2610624050CE,CE,24050,2026-01-06,10324738,65,0.05,NFO-OPT,NFO,0
NIFTY,NIFTY2610624050PE,PE,24050,2026-01-06,10324994,65,0.05,NFO-OPT,NFO,0
NIFTY,NIFTY2610624100CE,CE,24100,2026-01-06,10326018,65,0.05,NFO-OPT,NFO,0
NIFTY,NIFTY2610624100PE,PE,24100,2026-01-06,10326274,65,0.05,NFO-OPT,NFO,0
NIFTY,NIFTY2610624150CE,CE,24150,2026-01-06,10328834,65,0.05,NFO-OPT,NFO,0
NIFTY,NIFTY2610624150PE,PE,24150,2026-01-06,10329090,65,0.05,NFO-OPT,NFO,0
NIFTY,NIFTY2610624200CE,CE,24200,2026-01-06,10329346,65,0.05,NFO-OPT,NFO,0
NIFTY,NIFTY2610624200PE,PE,24200,2026-01-06,10329602,65,0.05,NFO-OPT,NFO,0
NIFTY,NIFTY2610624250CE,CE,24250,2026-01-06,10329858,65,0.05,NFO-OPT,NFO,0
NIFTY,NIFTY2610624250PE,PE,24250,2026-01-06,10330114,65,0.05,NFO-OPT,NFO,0
NIFTY,NIFTY2610624300CE,CE,24300,2026-01-06,10330370,65,0.05,NFO-OPT,NFO,0
NIFTY,NIFTY2610624300PE,PE,24300,2026-01-06,10330626,65,0.05,NFO-OPT,NFO,0
NIFTY,NIFTY2610624350CE,CE,24350,2026-01-06,10330882,65,0.05,NFO-OPT,NFO,0
NIFTY,NIFTY2610624350PE,PE,24350,2026-01-06,10331650,65,0.05,NFO-OPT,NFO,0
NIFTY,NIFTY2610624400CE,CE,24400,2026-01-06,10331906,65,0.05,NFO-OPT,NFO,0
NIFTY,NIFTY2610624400PE,PE,24400,2026-01-06,10332162,65,0.05,NFO-OPT,NFO,0
NIFTY,NIFTY2610624450CE,CE,24450,2026-01-06,10332418,65,0.05,NFO-OPT,NFO,0
NIFTY,NIFTY2610624450PE,PE,24450,2026-01-06,10332674,65,0.05,NFO-OPT,NFO,0
NIFTY,NIFTY2610624500CE,CE,24500,2026-01-06,10332930,65,0.05,NFO-OPT,NFO,0
NIFTY,NIFTY2610624500PE,PE,24500,2026-01-06,10333186,65,0.05,NFO-OPT,NFO,0
NIFTY,NIFTY2610624550CE,CE,24550,2026-01-06,10334210,65,0.05,NFO-OPT,NFO,0
NIFTY,NIFTY2610624550PE,PE,24550,2026-01-06,10334466,65,0.05,NFO-OPT,NFO,0
NIFTY,NIFTY2610624600CE,CE,24600,2026-01-06,10334978,65,0.05,NFO-OPT,NFO,0
NIFTY,NIFTY2610624600PE,PE,24600,2026-01-06,10335234,65,0.05,NFO-OPT,NFO,0
NIFTY,NIFTY2610624650CE,CE,24650,2026-01-06,10335490,65,0.05,NFO-OPT,NFO,0
NIFTY,NIFTY2610624650PE,PE,24650,2026-01-06,10335746,65,0.05,NFO-OPT,NFO,0
NIFTY,NIFTY2610624700CE,CE,24700,2026-01-06,10336770,65,0.05,NFO-OPT,NFO,0
NIFTY,NIFTY2610624700PE,PE,24700,2026-01-06,10337026,65,0.05,NFO-OPT,NFO,0
NIFTY,NIFTY2610624750CE,CE,24750,2026-01-06,10337538,65,0.05,NFO-OPT,NFO,0
NIFTY,NIFTY2610624750PE,PE,24750,2026-01-06,10337794,65,0.05,NFO-OPT,NFO,0
NIFTY,NIFTY2610624800CE,CE,24800,2026-01-06,10338050,65,0.05,NFO-OPT,NFO,0
NIFTY,NIFTY2610624800PE,PE,24800,2026-01-06,10339330,65,0.05,NFO-OPT,NFO,0
NIFTY,NIFTY2610624850CE,CE,24850,2026-01-06,10339586,65,0.05,NFO-OPT,NFO,0
NIFTY,NIFTY2610624850PE,PE,24850,2026-01-06,10339842,65,0.05,NFO-OPT,NFO,0
NIFTY,NIFTY2610624900CE,CE,24900,2026-01-06,10340098,65,0.05,NFO-OPT,NFO,0
NIFTY,NIFTY2610624900PE,PE,24900,2026-01-06,10340354,65,0.05,NFO-OPT,NFO,0
NIFTY,NIFTY2610624950CE,CE,24950,2026-01-06,10340610,65,0.05,NFO-OPT,NFO,0
NIFTY,NIFTY2610624950PE,PE,24950,2026-01-06,10340866,65,0.05,NFO-OPT,NFO,0
NIFTY,NIFTY2610625000CE,CE,25000,2026-01-06,10341122,65,0.05,NFO-OPT,NFO,0
NIFTY,NIFTY2610625000PE,PE,25000,2026-01-06,10341378,65,0.05,NFO-OPT,NFO,0
NIFTY,NIFTY2610625050CE,CE,25050,2026-01-06,10341634,65,0.05,NFO-OPT,NFO,0
NIFTY,NIFTY2610625050PE,PE,25050,2026-01-06,10341890,65,0.05,NFO-OPT,NFO,0
NIFTY,NIFTY2610625100CE,CE,25100,2026-01-06,10342146,65,0.05,NFO-OPT,NFO,0
NIFTY,NIFTY2610625100PE,PE,25100,2026-01-06,10342402,65,0.05,NFO-OPT,NFO,0
NIFTY,NIFTY2610625150CE,CE,25150,2026-01-06,10344450,65,0.05,NFO-OPT,NFO,0
NIFTY,NIFTY2610625150PE,PE,25150,2026-01-06,10345730,65,0.05,NFO-OPT,NFO,0
NIFTY,NIFTY2610625200CE,CE,25200,2026-01-06,10346498,65,0.05,NFO-OPT,NFO,0
NIFTY,NIFTY2610625200PE,PE,25200,2026-01-06,10346754,65,0.05,NFO-OPT,NFO,0
NIFTY,NIFTY2610625250CE,CE,25250,2026-01-06,10347010,65,0.05,NFO-OPT,NFO,0
NIFTY,NIFTY2610625250PE,PE,25250,2026-01-06,10347266,65,0.05,NFO-OPT,NFO,0
NIFTY,NIFTY2610625300CE,CE,25300,2026-01-06,10350338,65,0.05,NFO-OPT,NFO,0
NIFTY,NIFTY2610625300PE,PE,25300,2026-01-06,10350594,65,0.05,NFO-OPT,NFO,0
NIFTY,NIFTY2610625350CE,CE,25350,2026-01-06,10350850,65,0.05,NFO-OPT,NFO,0
NIFTY,NIFTY2610625350PE,PE,25350,2026-01-06,10351106,65,0.05,NFO-OPT,NFO,0
NIFTY,NIFTY2610625400CE,CE,25400,2026-01-06,10351362,65,0.05,NFO-OPT,NFO,0
NIFTY,NIFTY2610625400PE,PE,25400,2026-01-06,10351618,65,0.05,NFO-OPT,NFO,0
NIFTY,NIFTY2610625450CE,CE,25450,2026-01-06,10352386,65,0.05,NFO-OPT,NFO,0
NIFTY,NIFTY2610625450PE,PE,25450,2026-01-06,10352642,65,0.05,NFO-OPT,NFO,0
NIFTY,NIFTY2610625500CE,CE,25500,2026-01-06,10353410,65,0.05,NFO-OPT,NFO,0
NIFTY,NIFTY2610625500PE,PE,25500,2026-01-06,10353666,65,0.05,NFO-OPT,NFO,0
NIFTY,NIFTY2610625550CE,CE,25550,2026-01-06,10353922,65,0.05,NFO-OPT,NFO,0
NIFTY,NIFTY2610625550PE,PE,25550,2026-01-06,10354178,65,0.05,NFO-OPT,NFO,0
NIFTY,NIFTY2610625600CE,CE,25600,2026-01-06,10354434,65,0.05,NFO-OPT,NFO,0
NIFTY,NIFTY2610625600PE,PE,25600,2026-01-06,10354690,65,0.05,NFO-OPT,NFO,0
NIFTY,NIFTY2610625650CE,CE,25650,2026-01-06,10354946,65,0.05,NFO-OPT,NFO,0
