stock_symbol,stock_name,stock_instrument_token,stock_lot_size,has_options,options_count,option_tradingsymbol,option_type,option_strike,option_expiry,option_instrument_token,option_lot_size
0IRFC35-N0,,194580481,1,No,0,,,,,,
0MOFSL26-N1,,6067201,1,No,0,,,,,,
0MOFSL27-N3,,6068225,1,No,0,,,,,,
0NHIT34-N0,,7534593,1,No,0,,,,,,
0NHIT35-N0,,7532801,1,No,0,,,,,,
0RL34-N0,,6580737,1,No,0,,,,,,
0SCL26-YR,,5961985,1,No,0,,,,,,
0SCL27-YW,,5964545,1,No,0,,,,,,
1003IIFL29-NC,,6180097,1,No,0,,,,,,
1003ISFL28-N4,,5319425,1,No,0,,,,,,
1003SCFL31-Z4,,5968641,1,No,0,,,,,,
1003SCL30-BW,,4831745,1,No,0,,,,,,
1003SCL30A-NV,,5149697,1,No,0,,,,,,
1003SCL31-ZQ,,6135553,1,No,0,,,,,,
1003SCL31A-N1,,6544897,1,No,0,,,,,,
1003SCL31P-N1,,7405825,1,No,0,,,,,,
1003SCL32-N1,,7738369,1,No,0,,,,,,
1003SFIL28-NX,,3903745,1,No,0,,,,,,
10157PCP27-N0,,6284545,1,No,0,,,,,,
1015ECL29-NR,,2041601,1,No,0,,,,,,
1015SCFL29-YY,,5965569,1,No,0,,,,,,
1015SCL28-NR,,5146113,1,No,0,,,,,,
1015SCL28A-AL,,3765761,1,No,0,,,,,,
1015SCL28B-AZ,,4490753,1,No,0,,,,,,
1015SCL29-ZL,,6131713,1,No,0,,,,,,
1015SCL29B-N1,,6542849,1,No,0,,,,,,
1015SCL29T-N1,,7404801,1,No,0,,,,,,
1015SCL30-N1,,7740417,1,No,0,,,,,,
1015UCL26-N1,,6633473,1,No,0,,,,,,
1015UCL27-NF,,193536001,1,No,0,,,,,,
1018GS2026-GS,GOI LOAN 10.18% 2026,1749249,1,No,0,,,,,,
1020CCSP27-N0,,6946305,1,No,0,,,,,,
1025IIFL30-Y3,,193575425,1,No,0,,,,,,
1025PATE28-N0,,194235393,1,No,0,,,,,,
1025SCFL34-Z5,,5969153,1,No,0,,,,,,
1025SCL33-YJ,,5383681,1,No,0,,,,,,
1025SCL33A-N1,,4837633,1,No,0,,,,,,
1025SCL34-Z8,,5970689,1,No,0,,,,,,
1025SCL34A-ZT,,6137345,1,No,0,,,,,,
1025SCL34B-N1,,6547201,1,No,0,,,,,,
1025SCL34C-N1,,6545409,1,No,0,,,,,,
1025SCL34U-N1,,7406081,1,No,0,,,,,,
1025SCL34Z-N1,,7406849,1,No,0,,,,,,
1025SCL35-N1,,7739905,1,No,0,,,,,,
1025SCL35A-N1,,7732225,1,No,0,,,,,,
