stock_symbol,stock_name,stock_instrument_token,stock_lot_size,has_options,total_options_count,ce_count,pe_count,earliest_expiry,latest_expiry
0IRFC35-N0,,194580481,1,No,0,0,0,,
0MOFSL26-N1,,6067201,1,No,0,0,0,,
0MOFSL27-N3,,6068225,1,No,0,0,0,,
0NHIT34-N0,,7534593,1,No,0,0,0,,
0NHIT35-N0,,7532801,1,No,0,0,0,,
0RL34-N0,,6580737,1,No,0,0,0,,
0SCL26-YR,,5961985,1,No,0,0,0,,
0SCL27-YW,,5964545,1,No,0,0,0,,
1003IIFL29-NC,,6180097,1,No,0,0,0,,
1003ISFL28-N4,,5319425,1,No,0,0,0,,
1003SCFL31-Z4,,5968641,1,No,0,0,0,,
1003SCL30-BW,,4831745,1,No,0,0,0,,
1003SCL30A-NV,,5149697,1,No,0,0,0,,
1003SCL31-ZQ,,6135553,1,No,0,0,0,,
1003SCL31A-N1,,6544897,1,No,0,0,0,,
1003SCL31P-N1,,7405825,1,No,0,0,0,,
1003SCL32-N1,,7738369,1,No,0,0,0,,
1003SFIL28-NX,,3903745,1,No,0,0,0,,
10157PCP27-N0,,6284545,1,No,0,0,0,,
1015ECL29-NR,,2041601,1,No,0,0,0,,
1015SCFL29-YY,,5965569,1,No,0,0,0,,
1015SCL28-NR,,5146113,1,No,0,0,0,,
1015SCL28A-AL,,3765761,1,No,0,0,0,,
1015SCL28B-AZ,,4490753,1,No,0,0,0,,
1015SCL29-ZL,,6131713,1,No,0,0,0,,
1015SCL29B-N1,,6542849,1,No,0,0,0,,
1015SCL29T-N1,,7404801,1,No,0,0,0,,
1015SCL30-N1,,7740417,1,No,0,0,0,,
1015UCL26-N1,,6633473,1,No,0,0,0,,
1015UCL27-NF,,193536001,1,No,0,0,0,,
1018GS2026-GS,GOI LOAN 10.18% 2026,1749249,1,No,0,0,0,,
1020CCSP27-N0,,6946305,1,No,0,0,0,,
1025IIFL30-Y3,,193575425,1,No,0,0,0,,
1025PATE28-N0,,194235393,1,No,0,0,0,,
1025SCFL34-Z5,,5969153,1,No,0,0,0,,
1025SCL33-YJ,,5383681,1,No,0,0,0,,
1025SCL33A-N1,,4837633,1,No,0,0,0,,
1025SCL34-Z8,,5970689,1,No,0,0,0,,
1025SCL34A-ZT,,6137345,1,No,0,0,0,,
1025SCL34B-N1,,6547201,1,No,0,0,0,,
1025SCL34C-N1,,6545409,1,No,0,0,0,,
1025SCL34U-N1,,7406081,1,No,0,0,0,,
1025SCL34Z-N1,,7406849,1,No,0,0,0,,
1025SCL35-N1,,7739905,1,No,0,0,0,,
1025SCL35A-N1,,7732225,1,No,0,0,0,,
1025SFIL26-NT,,3899137,1,No,0,0,0,,
1025UCL26A-N1,,6633985,1,No,0,0,0,,
1025UCL27A-NG,,193536513,1,No,0,0,0,,
1025VCCL28-N0,,193897729,1,No,0,0,0,,
102CCSP27A-N0,,7415553,1,No,0,0,0,,
1030SFIL26-NJ,,3591169,1,No,0,0,0,,
1030SFIL28-NM,,3592705,1,No,0,0,0,,
1035CCSP26-N2,,5987841,1,No,0,0,0,,
1035CCSP27-N3,,6042625,1,No,0,0,0,,
1035UCL26-NA,,5846785,1,No,0,0,0,,
1039UCL26-NE,,193535489,1,No,0,0,0,,
1040NFL26-NA,,5918465,1,No,0,0,0,,
1040UCL27B-N1,,6634497,1,No,0,0,0,,
1048IIFL27-N6,,5868289,1,No,0,0,0,,
1050IIFL29-ND,,6180609,1,No,0,0,0,,
1050ISFL28-N5,,5320705,1,No,0,0,0,,
1050NFL26-N7,,4441345,1,No,0,0,0,,
1050SCFL31-Z2,,5967617,1,No,0,0,0,,
1050SCL30-NU,,5148417,1,No,0,0,0,,
1050SCL31-ZP,,6134785,1,No,0,0,0,,
1050SCL31A-N1,,6544385,1,No,0,0,0,,
1050SCL31T-N1,,7405569,1,No,0,0,0,,
1050SCL32-N1,,7741953,1,No,0,0,0,,
1050SFIL28-NV,,3901441,1,No,0,0,0,,
1050UCL28-NH,,193537025,1,No,0,0,0,,
105IIFL29-N7,,4876033,1,No,0,0,0,,
105UCL2026-NB,,5847297,1,No,0,0,0,,
1060ECL29-NS,,2044417,1,No,0,0,0,,
1065NFL27-NC,,5919489,1,No,0,0,0,,
1075SCFL34-Z6,,5969665,1,No,0,0,0,,
1075SCL33-YK,,5386753,1,No,0,0,0,,
1075SCL33A-N2,,4838913,1,No,0,0,0,,
1075SCL33B-NW,,5150209,1,No,0,0,0,,
1075SCL34-ZR,,6136321,1,No,0,0,0,,
1075SCL34C-N1,,6545921,1,No,0,0,0,,
1075SCL34T-N1,,7406337,1,No,0,0,0,,
1075SCL35-N1,,7739393,1,No,0,0,0,,
1075WCA28-N0,,194359041,1,No,0,0,0,,
1075WCAP28-N0,,194302721,1,No,0,0,0,,
1077IIFL30-N7,,5894145,1,No,0,0,0,,
1090NFL26-NB,,5918977,1,No,0,0,0,,
1096GIPL28-N0,,194684673,1,No,0,0,0,,
10CAGL27-N5,,3191041,1,No,0,0,0,,
10IFSL26-N7,,3596545,1,No,0,0,0,,
10IIFL26-N0,,6225665,1,No,0,0,0,,
10IIFL28-N4,,1334273,1,No,0,0,0,,
10IIFL28A-NE,,734977,1,No,0,0,0,,
10IIFL29-N6,,4875521,1,No,0,0,0,,
10IIFLSF27-NB,,6179585,1,No,0,0,0,,
10ISFL26-N3,,5317377,1,No,0,0,0,,
