index,option_symbol,option_type,strike,expiry,option_token,lot_size,exchange,dte
BANKNIFTY,BANKNIFTY26FEB51000CE,CE,51000,2026-02-24,15324162,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB51000PE,PE,51000,2026-02-24,15324418,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB51500CE,CE,51500,2026-02-24,15327234,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB51500PE,PE,51500,2026-02-24,15327490,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB52000CE,CE,52000,2026-02-24,15331074,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB52000PE,PE,52000,2026-02-24,15331330,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB52500CE,CE,52500,2026-02-24,15335938,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB52500PE,PE,52500,2026-02-24,15336194,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB53000CE,CE,53000,2026-02-24,15338498,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB53000PE,PE,53000,2026-02-24,15338754,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB53500CE,CE,53500,2026-02-24,15341058,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB53500PE,PE,53500,2026-02-24,15341314,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB53600CE,CE,53600,2026-02-24,15341570,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB53600PE,PE,53600,2026-02-24,15341826,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB53700CE,CE,53700,2026-02-24,15342082,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB53700PE,PE,53700,2026-02-24,15342850,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB53800CE,CE,53800,2026-02-24,15343106,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB53800PE,PE,53800,2026-02-24,15343362,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB53900CE,CE,53900,2026-02-24,15343618,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB53900PE,PE,53900,2026-02-24,15343874,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB54000CE,CE,54000,2026-02-24,15344130,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB54000PE,PE,54000,2026-02-24,15344386,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB54100CE,CE,54100,2026-02-24,15344642,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB54100PE,PE,54100,2026-02-24,15344898,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB54200CE,CE,54200,2026-02-24,15345154,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB54200PE,PE,54200,2026-02-24,15345410,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB54300CE,CE,54300,2026-02-24,15345666,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB54300PE,PE,54300,2026-02-24,15345922,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB54400CE,CE,54400,2026-02-24,15346178,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB54400PE,PE,54400,2026-02-24,15346434,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB54500CE,CE,54500,2026-02-24,15346690,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB54500PE,PE,54500,2026-02-24,15347458,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB54600CE,CE,54600,2026-02-24,15347714,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB54600PE,PE,54600,2026-02-24,15347970,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB54700CE,CE,54700,2026-02-24,15348482,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB54700PE,PE,54700,2026-02-24,15348738,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB54800CE,CE,54800,2026-02-24,15348994,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB54800PE,PE,54800,2026-02-24,15349250,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB54900CE,CE,54900,2026-02-24,15351298,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB54900PE,PE,54900,2026-02-24,15351554,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB55000CE,CE,55000,2026-02-24,15351810,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB55000PE,PE,55000,2026-02-24,15352066,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB55100CE,CE,55100,2026-02-24,15352322,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB55100PE,PE,55100,2026-02-24,15352578,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB55200CE,CE,55200,2026-02-24,15352834,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB55200PE,PE,55200,2026-02-24,15353090,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB55300CE,CE,55300,2026-02-24,15353346,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB55300PE,PE,55300,2026-02-24,15353602,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB55400CE,CE,55400,2026-02-24,15354114,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB55400PE,PE,55400,2026-02-24,15354370,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB55500CE,CE,55500,2026-02-24,15354626,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB55500PE,PE,55500,2026-02-24,15354882,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB55600CE,CE,55600,2026-02-24,15355138,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB55600PE,PE,55600,2026-02-24,15355394,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB55700CE,CE,55700,2026-02-24,15355650,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB55700PE,PE,55700,2026-02-24,15355906,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB55800CE,CE,55800,2026-02-24,15356162,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB55800PE,PE,55800,2026-02-24,15356418,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB55900CE,CE,55900,2026-02-24,15357186,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB55900PE,PE,55900,2026-02-24,15357442,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB56000CE,CE,56000,2026-02-24,15358466,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB56000PE,PE,56000,2026-02-24,15359746,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB56100CE,CE,56100,2026-02-24,15360002,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB56100PE,PE,56100,2026-02-24,15360770,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB56200CE,CE,56200,2026-02-24,15361282,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB56200PE,PE,56200,2026-02-24,15361794,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB56300CE,CE,56300,2026-02-24,15364610,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB56300PE,PE,56300,2026-02-24,15364866,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB56400CE,CE,56400,2026-02-24,15365122,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB56400PE,PE,56400,2026-02-24,15365378,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB56500CE,CE,56500,2026-02-24,15365890,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB56500PE,PE,56500,2026-02-24,15366146,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB56600CE,CE,56600,2026-02-24,15366402,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB56600PE,PE,56600,2026-02-24,15366658,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB56700CE,CE,56700,2026-02-24,15366914,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB56700PE,PE,56700,2026-02-24,15367170,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB56800CE,CE,56800,2026-02-24,15367426,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB56800PE,PE,56800,2026-02-24,15367682,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB56900CE,CE,56900,2026-02-24,15367938,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB56900PE,PE,56900,2026-02-24,15368194,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB57000CE,CE,57000,2026-02-24,15368450,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB57000PE,PE,57000,2026-02-24,15368706,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB57100CE,CE,57100,2026-02-24,15369986,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB57100PE,PE,57100,2026-02-24,15370242,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB57200CE,CE,57200,2026-02-24,15370498,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB57200PE,PE,57200,2026-02-24,15370754,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB57300CE,CE,57300,2026-02-24,15371522,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB57300PE,PE,57300,2026-02-24,15371778,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB57400CE,CE,57400,2026-02-24,15372034,30,NFO,27
BANKNIFTY,BANKNIFTY26FEB57400PE,PE,57400,2026-02-24,15372290,30,NFO,27
