fetch_date,instrument_token,tradingsymbol,name,exchange,instrument_type,expiry,strike,lot_size
2025-12-31,292786437,SENSEX26JANFUT,SENSEX,BFO,FUT,2026-01-29,0,20
2025-12-31,298364421,SENSEX26FEBFUT,SENSEX,BFO,FUT,2026-02-26,0,20
2025-12-31,211344645,SENSEX26MARFUT,SENSEX,BFO,FUT,2026-03-25,0,20
2025-12-31,296435717,SENSEX2610184700PE,SENSEX,BFO,PE,2026-01-01,84700,20
2025-12-31,296497925,SENSEX2610184700CE,SENSEX,BFO,CE,2026-01-01,84700,20
2025-12-31,296440325,SENSEX2610184600CE,SENSEX,BFO,CE,2026-01-01,84600,20
2025-12-31,296477701,SENSEX2610184600PE,SENSEX,BFO,PE,2026-01-01,84600,20
2025-12-31,296452357,SENSEX2610184800CE,SENSEX,BFO,CE,2026-01-01,84800,20
2025-12-31,296492037,SENSEX2610184800PE,SENSEX,BFO,PE,2026-01-01,84800,20
2025-12-31,296483589,SENSEX2610184500CE,SENSEX,BFO,CE,2026-01-01,84500,20
2025-12-31,296526853,SENSEX2610184500PE,SENSEX,BFO,PE,2026-01-01,84500,20
2025-12-31,296446725,SENSEX2610184900PE,SENSEX,BFO,PE,2026-01-01,84900,20
2025-12-31,296593669,SENSEX2610184900CE,SENSEX,BFO,CE,2026-01-01,84900,20
2025-12-31,296429573,SENSEX2610184400CE,SENSEX,BFO,CE,2026-01-01,84400,20
2025-12-31,296467717,SENSEX2610184400PE,SENSEX,BFO,PE,2026-01-01,84400,20
2025-12-31,296515845,SENSEX2610185000CE,SENSEX,BFO,CE,2026-01-01,85000,20
2025-12-31,296558853,SENSEX2610185000PE,SENSEX,BFO,PE,2026-01-01,85000,20
2025-12-31,296472069,SENSEX2610184300CE,SENSEX,BFO,CE,2026-01-01,84300,20
2025-12-31,296514053,SENSEX2610184300PE,SENSEX,BFO,PE,2026-01-01,84300,20
2025-12-31,296427525,SENSEX2610185100PE,SENSEX,BFO,PE,2026-01-01,85100,20
2025-12-31,296575749,SENSEX2610185100CE,SENSEX,BFO,CE,2026-01-01,85100,20
2025-12-31,296456453,SENSEX2610184200PE,SENSEX,BFO,PE,2026-01-01,84200,20
