Date,Time,Script,TF,Status
2025-11-21,00:00:00,SUZLON,D,S
2025-11-21,00:00:00,FORTIS,W,R
2025-11-21,00:00:00,CONCOR,W,S
2025-11-21,00:00:00,BANDHANBNK,W,S
2025-11-24,00:00:00,CONCOR,W,D
2025-11-24,00:00:00,BANDHANBNK,W,D
2025-11-24,00:00:00,SAIL,D,S
2025-11-24,00:00:00,OIL,D,S
2025-11-24,00:00:00,PRESTIGE,D,R
2025-11-24,00:00:00,BEL,D,S
2025-11-24,00:00:00,JIOFIN,D,S
2025-11-24,00:00:00,VEDL,D,S
2025-11-25,00:00:00,OIL,D,S
2025-11-25,00:00:00,IOC,D,S
2025-11-25,00:00:00,BANDHANBNK,W,E
2025-11-25,00:00:00,PAYTM,D,S
2025-11-25,00:00:00,CONCOR,W,E
2025-11-25,00:00:00,JINDALSTEL,D,S
2025-11-25,00:00:00,HINDPETRO,D,S
2025-11-25,00:00:00,BIOCON,D,E
2025-11-26,00:00:00,PAYTM,D,E
2025-11-26,00:00:00,HINDPETRO,D,S
2025-11-26,00:00:00,CONCOR,W,E
2025-11-26,00:00:00,BANDHANBNK,W,E
2025-11-27,00:00:00,BANDHANBNK,W,E
2025-11-27,00:00:00,CONCOR,W,E
2025-11-27,00:00:00,OIL,D,S
2025-11-27,00:00:00,IOC,D,D
2025-11-27,00:00:00,MARICO,D,S
2025-11-28,00:00:00,OIL,D,E
2025-11-28,00:00:00,CONCOR,W,E
2025-11-28,00:00:00,BANDHANBNK,W,E
2025-11-28,00:00:00,IOC,D,S
2025-11-28,00:00:00,MARICO,D,S
2025-11-28,00:00:00,CGPOWER,W,S
2025-12-01,00:00:00,MARICO,D,E
2025-12-01,00:00:00,CONCOR,W,E
2025-12-01,00:00:00,SBILIFE,D,D
2025-12-01,00:00:00,HINDPETRO,D,S
2025-12-01,00:00:00,BANDHANBNK,W,E
2025-12-01,00:00:00,CGPOWER,W,S
2025-12-01,00:00:00,RBLBANK,D,S
2025-12-01,00:00:00,BRITANNIA,D,S
2025-12-01,00:00:00,BPCL,D,S
2025-12-02,00:00:00,BRITANNIA,D,S
2025-12-02,00:00:00,MARICO,D,E
2025-12-02,00:00:00,HINDPETRO,D,S
2025-12-02,00:00:00,CGPOWER,W,S
2025-12-02,00:00:00,BANDHANBNK,W,E
2025-12-02,00:00:00,SBILIFE,D,E
2025-12-02,00:00:00,RBLBANK,D,E
2025-12-02,00:00:00,POLYCAB,D,E
2025-12-03,00:00:00,POLYCAB,D,E
2025-12-03,00:00:00,MARICO,D,E
2025-12-03,00:00:00,RBLBANK,D,S
2025-12-03,00:00:00,BANDHANBNK,W,E
